,Planet Name,Eclipse Flux Ratio 1.1-1.1566667um,Eclipse Flux Ratio 1.1566667-1.2133333um,Eclipse Flux Ratio 1.2133333-1.27um,Eclipse Flux Ratio 1.27-1.3266667um,Eclipse Flux Ratio 1.3266667-1.3833333um,Eclipse Flux Ratio 1.3833333-1.44um,Eclipse Flux Ratio 1.44-1.4966667um,Eclipse Flux Ratio 1.4966667-1.5533333um,Eclipse Flux Ratio 1.5533333-1.61um,Eclipse Flux Ratio 1.61-1.6666667um,Eclipse Flux Ratio 1.6666667-1.7233333um,Eclipse Flux Ratio 1.7233333-1.78um,Eclipse Flux Ratio 1.78-1.8366667um,Eclipse Flux Ratio 1.8366667-1.8933333um,Eclipse Flux Ratio 1.8933333-1.95um
602,Kepler-1517b,8.793966905382413e-05,0.00010067715653309261,0.00011369946752746447,0.00012690407495333122,0.00014020196506009153,0.00015351705579020513,0.00016678516966329914,0.00017995283839871527,0.00019297616152845086,0.00020581958295117127,0.0002184547381332924,0.00023085949620143764,0.00024301700341775143,0.0002549148352520802,0.00026654434606069086
603,TOI-1231b,6.417201522836608e-18,3.233582896833745e-17,1.4078084719911799e-16,5.395553119354109e-16,1.8490852866938803e-15,5.741742314888483e-15,1.6336924977675484e-14,4.3003397050176054e-14,1.0559034585059428e-13,2.4357438927569944e-13,5.311468382351913e-13,1.100833159222609e-12,2.1787661324507932e-12,4.135165899094497e-12,7.553868154168518e-12
604,Qatar-6b,1.0064374400568527e-06,1.599900625667618e-06,2.4350904340053626e-06,3.568721296832153e-06,5.059866469176763e-06,6.968231450642328e-06,9.352495159639761e-06,1.2268807960484294e-05,1.5769528901618605e-05,1.9902194469267038e-05,2.4708736483094123e-05,3.022498246797061e-05,3.6480352777274376e-05,4.349774873617476e-05,5.129366186407701e-05
605,TOI-559b,1.509018729451325e-06,2.230666198451372e-06,3.1774008535118665e-06,4.382432032969027e-06,5.8765632075932126e-06,7.687349331099257e-06,9.838484933381902e-06,1.2349418026558301e-05,1.5235188150021844e-05,1.850642290655843e-05,2.2169469719729273e-05,2.6226660841248757e-05,3.06766285888082e-05,3.551466345251733e-05,4.0733133987849446e-05
606,Kepler-63b,3.141513163415863e-08,5.394497287231486e-08,8.806499778187705e-08,1.3758016025612436e-07,2.0682171149650192e-07,3.0056178340446045e-07,4.239076290248914e-07,5.821836986463763e-07,7.808106561169817e-07,1.02518608566273e-06,1.3205725576835484e-06,1.671999515696251e-06,2.0841776244616033e-06,2.5614279196020087e-06,3.1076302059409103e-06
607,K2-399b,0.00015201091247963013,0.0001659055859341791,0.00017947346233570654,0.000192672397287738,0.00020547396080557566,0.00021786069666569234,0.00022982373647294566,0.00024136083451771945,0.00025247485771458174,0.00026317248580345594,0.0002734631724704934,0.0002833584003740999,0.000292871021253226,0.00030201473953420376,0.00031080378149980894
608,MASCARA-1b,0.00022295788411156578,0.00025465027714648657,0.00028697413124103275,0.00031967967441589207,0.0003525515900623175,0.0003854071326176272,0.0004180932509662153,0.0004504833884539552,0.00048247448916442646,0.0005139838596888598,0.0005449462497811499,0.0005753114450958085,0.0006050418884604015,0.000634110586264793,0.0006624995116836931
609,HD152843b,4.340898429716673e-08,6.617302376682411e-08,9.692655796625556e-08,1.371309148339667e-07,1.8821448943984573e-07,2.5152966888767146e-07,3.2831688639493943e-07,4.1967678458153697e-07,5.265513390850704e-07,6.497122012852995e-07,7.897557359829595e-07,9.47104898061472e-07,1.1220148570025032e-06,1.3145819700184339e-06,1.5247567544734751e-06
610,WASP-189b,0.00016858879284963236,0.0001925931542681109,0.00021707563871186959,0.00024184687406169465,0.0002667437407704225,0.00029162789850316985,0.00031638356810675874,0.00034091507663339094,0.0003651445662774327,0.00038900960060262845,0.0004124609420772299,0.0004354607217858047,0.0004579806340061779,0.00048000034907238164,0.0005015063041838551
611,K2-403b,4.195503474392953e-11,9.750087370887633e-11,2.0963145273433976e-10,4.2121194589745474e-10,7.976199558165507e-10,1.4335774815912968e-09,2.460291747046432e-09,4.052466078489928e-09,6.43475058836361e-09,9.8872122104583e-09,1.4749486830769977e-08,2.142341586692528e-08,3.0373978938692226e-08,4.212848702919528e-08,5.7274193787612957e-08
