,Star Name,Star RA,Star Dec,Planet Name,Transit Mid Time,Transit Duration [hrs],Planet Period [days],Priority,Immediate Followup,Transit Observations,Phase Curve Observations,Known,Observe Transit,Observe Phase Curve
948,TOI-5029,259.95298,-35.740745,TOI-5029.01,2459384.066,2.565,3.8861815,29,0,3,1,0,1,0
949,TOI-5037,234.548332,-71.927874,TOI-5037.01,2459388.356,2.978,4.1239984,22,0,2,1,0,1,0
950,TOI-5038,267.168701,-29.5226,TOI-5038.01,2459384.822,1.27,0.9990876,42,0,2,1,0,0,1
951,TOI-5043,267.099516,-54.9322,TOI-5043.01,2459384.33,3.148,3.8027513,24,0,1,1,0,1,0
952,TOI-5048,247.424651,-28.504414,TOI-5048.01,2459386.666,1.463,1.3583233,25,0,9,1,0,0,1
953,TOI-5051,261.385143,-44.046683,TOI-5051.01,2459379.848,2.842,3.5980715,36,0,1,1,0,1,0
954,TOI-5052,244.35621,-59.097565,TOI-5052.01,2459381.491,2.988,4.0668104,26,0,1,1,0,1,0
955,TOI-5057,254.842052,-35.388933,TOI-5057.01,2459385.83,1.501,1.1437772,18,0,27,1,0,0,1
956,TOI-5060,247.643085,-49.414177,TOI-5060.01,2459373.111,2.229,1.2695326,33,0,2,1,0,0,1
957,TOI-5066,63.833786,27.062203,TOI-5066.01,2460231.616,1.208,1.3454079,16,0,2,1,0,0,1
958,TOI-5070,95.305914,20.878513,TOI-5070.01,2460248.028,3.269,6.2170098,11,0,1,2,0,1,0
959,TOI-5082,106.569578,22.683148,TOI-5082.01,2460284.803,2.353,4.2403543,11,0,1,2,0,1,0
960,TOI-5091,95.635062,14.017632,TOI-5091.01,2459546.829,3.705,3.6413702,39,0,1,1,0,1,0
961,TOI-5100,66.934984,33.086274,TOI-5100.01,2459911.622,2.337596,3.4536317,30,0,2,1,0,1,0
962,TOI-5108,166.269504,11.246407,TOI-5108.01,2460285.357,2.173,6.7535728,13,0,1,2,0,1,0
963,TOI-5109,79.413022,17.714524,TOI-5109.01,2459547.384,1.693,3.2104815,40,0,2,1,0,1,0
964,TOI-5114,110.7852,25.558752,TOI-5114.01,2460280.732,2.115,6.1539077,19,0,3,1,0,1,0
965,TOI-5126,151.6597827,18.6340631,TOI-5126b,2459627.039,3.726,5.4588385,11,0,1,4,1,1,0
966,TOI-5128,143.31764,9.168421,TOI-5128.01,2460274.611,3.018,7.6014943,27,0,1,1,0,1,0
967,TOI-5143,165.36512,5.139481,TOI-5143.01,2459553.293,1.7362988,5.2092332,13,0,2,1,0,1,0
968,TOI-5148,261.241401,-58.633055,TOI-5148.01,2460117.346,6.023,5.0637114,42,0,1,1,0,1,0
969,TOI-5169,154.868917,6.582766,TOI-5169.01,2460269.548,1.487,8.0387972,10,0,2,20,0,1,0
970,TOI-5179,280.251649,83.055747,TOI-5179.01,2459768.887,0.445,0.2874782,11,0,3,1,0,0,1
971,TOI-5180,282.877583,19.560248,TOI-5180.01,2459413.39,1.753,2.7779767,30,0,3,1,0,1,0
972,TOI-5185,277.589668,16.908527,TOI-5185.01,2459414.668,4.399,4.2788309,29,0,1,1,0,1,0
973,TOI-5186,291.589776,17.06358,TOI-5186.01,2459416.392,2.828,2.503254,43,0,1,1,0,1,0
974,TOI-5191,291.567585,18.995258,TOI-5191.01,2459417.859,3.669,3.0278609,35,0,1,1,0,1,0
975,TOI-5204,310.938842,40.29807,TOI-5204.01,2459825.299,3.244,1.593603,29,0,3,1,0,0,1
976,TOI-5209,291.871283,25.453331,TOI-5209.01,2459443.479,2.207,2.635737,26,0,2,1,0,1,0
977,TOI-5226,313.339745,37.475083,TOI-5226.01,2459432.674,5.456,7.8284207,28,0,1,1,0,1,0
978,TOI-5237,297.495261,29.891252,TOI-5237.01,2459444.873,1.858,2.9889845,32,0,2,1,0,1,0
979,TOI-5243,309.333017,48.04051,TOI-5243.01,2459825.687,1.966,1.6087939,35,0,2,1,0,0,1
980,TOI-5250,302.751801,23.34472,TOI-5250.01,2459446.168,2.222,5.4463931,37,0,1,1,0,1,0
981,TOI-5251,305.803809,29.872672,TOI-5251.01,2459445.018,2.393,2.3205922,28,0,3,1,0,1,0
982,TOI-5263,304.702586,41.970517,TOI-5263.01,2459442.19,2.201,3.1501356,33,0,1,1,0,1,0
983,TOI-5264,297.552063,27.481047,TOI-5264.01,2459439.859,5.435,4.4274169,46,0,1,1,0,1,0
984,TOI-5270,300.066897,22.162093,TOI-5270.01,2459446.036,2.562,1.0513177,34,0,2,1,0,0,1
985,TOI-5287,328.038687,-8.419663,TOI-5287.01,2459468.059,3.829,4.1976789,38,0,1,1,0,1,0
986,TOI-5289,0.760104,-7.786416,TOI-5289.01,2459469.615,2.669,3.4411264,10,0,2,7,0,1,0
987,TOI-5291,338.733227,-11.363238,TOI-5291.01,2459467.596,1.35,2.3007511,14,0,2,2,0,1,0
988,TOI-5294,351.467705,4.454898,TOI-5294.01,2459470.435,2.294,5.6707432,12,0,3,3,0,1,0
989,TOI-5300,356.481137,0.458798,TOI-5300.01,2459470.418,1.958,2.2623535,25,0,2,1,0,1,0
990,TOI-5307,15.886532,9.913917,TOI-5307.01,2459490.964,1.711,5.2976347,10,0,3,33,0,1,0
991,TOI-5310,30.183054,20.023188,TOI-5310.01,2459486.097,3.039,11.2036244,10,0,2,26,0,1,0
992,TOI-5316,91.802333,35.958044,TOI-5316.01,2459496.567,1.574,0.9997277,18,0,27,1,0,0,1
993,TOI-5319,35.213556,23.520441,TOI-5319.01,2459884.042,1.561,4.0785273,10,0,2,41,0,1,0
994,TOI-5321,15.685485,20.050424,TOI-5321.01,2459478.896,2.662,10.1391591,27,0,2,1,0,1,0
995,TOI-5322,6.529337,14.336428,TOI-5322.01,2459872.581,4.975,5.4233428,28,0,1,1,0,1,0
996,TOI-5323,9.206607,2.130744,TOI-5323.01,2459497.679,4.055,5.8049376,27,0,1,1,0,1,0
997,TOI-5325,32.912647,4.192318,TOI-5325.01,2459498.292,1.385,15.057596,10,0,5,16,0,1,0
998,TOI-5328,65.293362,27.16792,TOI-5328.01,2459519.398,6.921,5.4886518,51,0,1,1,0,1,0
999,TOI-532,85.0800537,11.5626373,TOI-532b,2458470.577,1.75,2.3266508,10,0,4,5,1,1,0
1000,TOI-5336,96.234561,23.657844,TOI-5336.01,2459520.536,3.825,4.0153167,22,0,2,1,0,1,0
1001,TOI-5337,77.556092,19.640084,TOI-5337.01,2459522.877,0.514,0.7135221,15,0,4,1,0,0,1
1002,TOI-5338,78.172728,22.505924,TOI-5338.01,2459522.341,2.184,2.6429687,23,0,3,1,0,1,0
1003,TOI-5342,76.431732,29.725539,TOI-5342.01,2459524.058,0.631,0.5894678,14,0,11,1,0,0,1
1004,TOI-5344,63.2662165,20.9151568,TOI-5344b,2459477.313,1.81,3.792622,12,0,2,3,1,1,0
1005,TOI-5352,78.039675,28.546876,TOI-5352.01,2459523.256,1.42,2.0389145,11,0,6,1,0,0,1
1006,TOI-5364,77.00647,31.898377,TOI-5364.01,2459524.131,0.952,1.4466879,23,0,78,1,0,0,1
1007,TOI-5366,91.789601,23.131649,TOI-5366.01,2459521.306,2.227,1.5328484,11,0,12,1,0,0,1
1008,TOI-5367,91.796289,27.622043,TOI-5367.01,2459521.65,1.392,1.6647221,13,0,9,1,0,0,1
1009,TOI-5371,66.80026,20.774863,TOI-5371.01,2459522.846,0.992,1.27615,30,0,6,1,0,0,1
1010,TOI-5375,113.784894,71.400673,TOI-5375.01,2459580.736,1.7411525,1.7215575,28,0,2,1,0,0,1
1011,TOI-5386,226.106919,60.536232,TOI-5386.01,2459690.092,1.867,3.6215615,34,0,2,1,0,1,0
1012,TOI-5388,152.176517,35.547557,TOI-5388.01,2459630.896,0.313,2.594675,10,0,4,255,0,1,0
1013,TOI-5390,142.444304,30.062908,TOI-5390.01,2459617.29,3.2914107,15.0619708,10,0,2,29,0,1,0
1014,TOI-5398,161.879557,36.329434,TOI-5398.02,2459628.618,2.906,4.7728997,10,0,2,8,0,1,0
1015,TOI-5398,161.8795569,36.3294345,TOI-5398b,2459616.492,4.258,10.590547,34,0,1,1,1,1,0
1016,TOI-5398,161.8795569,36.3294345,TOI-5398c,2459628.618,3.127,4.77271,10,0,1,7,1,1,0
1017,TOI-5404,101.360836,22.290364,TOI-5404.01,2459546.131,2.454,2.177475,10,0,2,18,0,1,0
1018,TOI-5408,96.31948,20.535854,TOI-5408.01,2459549.599,1.429,0.9598377,16,0,17,1,0,0,1
1019,TOI-5411,86.068595,28.791551,TOI-5411.01,2459549.378,3.175,3.0604071,28,0,1,1,0,1,0
1020,TOI-5412,104.134699,13.429193,TOI-5412.01,2459550.395,0.493,0.3828485,10,0,5,1,0,0,1
1021,TOI-5415,84.164148,14.914516,TOI-5415.01,2459544.737,2.966,2.9858191,26,0,2,1,0,1,0
1022,TOI-5416,103.010116,25.2013,TOI-5416.01,2459537.053,3.251,13.0152698,10,0,1,44,0,1,0
1023,TOI-5417,90.084691,26.353234,TOI-5417.01,2459549.214,2.88,2.8675385,24,0,2,1,0,1,0
1024,TOI-5425,90.431757,22.245686,TOI-5425.01,2459550.242,0.604,0.4553752,10,0,3,1,0,0,1
1025,TOI-5426,81.649605,31.633052,TOI-5426.01,2459541.463,2.427,5.8095099,10,0,3,7,0,1,0
1026,TOI-5427,83.968375,12.925947,TOI-5427.01,2459548.749,3.741,5.2374183,26,0,2,1,0,1,0
1027,TOI-5435,92.998145,13.759123,TOI-5435.01,2459550.46,1.596,1.2699324,11,0,4,2,0,1,0
1028,TOI-5438,104.456348,25.51535,TOI-5438.01,2459549.679,1.837,2.5842514,10,0,3,1,0,1,0
1029,TOI-5445,107.425727,22.741533,TOI-5445.01,2459539.888,1.226,6.3780197,22,0,6,1,0,1,0
1030,TOI-5448,169.995604,8.350262,TOI-5448.01,2459547.932,2.215,3.214031,11,0,1,3,0,1,0
1031,TOI-544,82.2900716,-0.3428983,TOI-544b,2459199.031,1.21,1.548351,11,0,1,13,1,1,0
1032,TOI-5451,108.047768,30.104333,TOI-5451.01,2459606.277,1.388,1.6822448,23,0,7,1,0,0,1
1033,TOI-5452,107.907236,28.923941,TOI-5452.01,2459549.015,1.077,0.9909664,21,0,17,1,0,0,1
1034,TOI-5458,104.926875,30.54239,TOI-5458.01,2459521.578,1.561,22.0634495,10,0,4,19,0,1,0
