,Planet Name,ESM Estimate 1.1-1.1425um,ESM Estimate 1.1425-1.185um,ESM Estimate 1.185-1.2275um,ESM Estimate 1.2275-1.27um,ESM Estimate 1.27-1.3125um,ESM Estimate 1.3125-1.355um,ESM Estimate 1.355-1.3975um,ESM Estimate 1.3975-1.44um,ESM Estimate 1.44-1.4825um,ESM Estimate 1.4825-1.525um,ESM Estimate 1.525-1.5675um,ESM Estimate 1.5675-1.61um,ESM Estimate 1.61-1.6525um,ESM Estimate 1.6525-1.695um,ESM Estimate 1.695-1.7375um,ESM Estimate 1.7375-1.78um,ESM Estimate 1.78-1.8225um,ESM Estimate 1.8225-1.865um,ESM Estimate 1.865-1.9075um,ESM Estimate 1.9075-1.95um
621,TOI-2567b,0.0404354851812149,0.050308610132982365,0.061453826125200624,0.07384742044505088,0.08744608591698608,0.10218971168141412,0.11800433694893274,0.13480510343314964,0.1524990836519664,0.17098789952684415,0.19017007728139487,0.20994311015512368,0.23020522016229433,0.2508568246579589,0.2718017236032827,0.29294802996354824,0.3142088693923211,0.3355028769360303,0.35675451851282114,0.37789426385174035
622,TOI-1899b,9.125763091982324e-12,2.809596990559876e-11,7.973979139900076e-11,2.1035792380041282e-10,5.195469039139447e-10,1.2089490472717745e-09,2.6650750843795136e-09,5.593000569383998e-09,1.1222399288708177e-08,2.1611915825421373e-08,4.008178881603163e-08,7.180738892108059e-08,1.246074497817691e-07,2.099598732134691e-07,3.442748647460086e-07,5.504497689815283e-07,8.597224806731712e-07,1.3138310326729026e-06,1.9674763691703247e-06,2.8910739579534745e-06
623,TOI-1468b,9.116178547367589e-06,1.5507218624026078e-05,2.5342020698910666e-05,3.9951861182136755e-05,6.0979816693356063e-05,9.039693181962113e-05,0.0001305076181767795,0.00018394371265280157,0.0002536473357184061,0.0003428433170424579,0.00045500245675646596,0.0005937972484696349,0.0007630519034615248,0.0009666885958638283,0.0012086718156433301,0.0014929525934665106,0.0018234141736505171,0.0022038204816456635,0.0026377684813385783,0.0031286452618755245
624,TOI-2236b,0.4317324966600098,0.504482034411034,0.5813247399273269,0.6615998735436152,0.7446425142707452,0.8298003039019841,0.9164465210645955,1.0039898083896566,1.0918809638648252,1.179617239578679,1.2667445855769053,1.3528582474986188,1.437602084455825,1.5206669256201424,1.6017882351358848,1.6807433084161119,1.757348180400116,1.8314543888348884,1.9029457033429975,1.9717349038155312
625,TOI-3331Ab,0.33166511130276805,0.40061609838845386,0.4760919781699454,0.5576333085239781,0.6447055160776097,0.7367203581852139,0.8330555692711099,0.9330722297497624,1.0361296441543717,1.1415976997657122,1.2488668063522872,1.3573556015697235,1.46651665499759,1.5758404256281435,1.6848577304216734,1.7931409714280957,1.9003043507101156,2.00600327947392,2.109933163016033,2.211827718139692
626,TOI-3540Ab,0.743960084484188,0.897171146790045,1.0645842845330113,1.2451487214943213,1.4376548234037503,1.6407816767794696,1.853140319742929,2.073311690547229,2.2998789002890034,2.531453833046689,2.7666983501490536,3.0043405487694623,3.2431866211721316,3.482128899792189,3.7201506717351847,3.9563283177143265,4.189831285293191,4.419920352299783,4.645944578959779,4.867337290466173
627,TOI-1288b,0.025561355292129398,0.03249065830297522,0.040487007617745124,0.04956470420356971,0.05972055050951082,0.07093515478308306,0.08317462129961299,0.09639247841313699,0.11053171860425134,0.12552684892455535,0.14130587391254854,0.15779215464082993,0.1749061062391226,0.1925667117298485,0.2106928423616646,0.22920438408624835,0.2480231767559129,0.26707377742493693,0.286284062211554,0.30558568288602866
628,NGTS-24b,0.1681392037244458,0.19749091933286098,0.2286734131006956,0.26142701332103924,0.2954856818329334,0.3305843269724354,0.36646469712346197,0.40287993819725415,0.43959794683881437,0.4764036752167371,0.5131005500072413,0.5495111633899545,0.5854773819609969,0.6208600036976096,0.6555380757722603,0.6894079686512415,0.7223822854899917,0.7543886709077042,0.7853685700486011,0.8152759774833325
629,TOI-1136f,2.449128755091655e-06,4.372138013137125e-06,7.471745783251751e-06,1.2278829781205051e-05,1.9480560826704985e-05,2.9939281819102308e-05,4.470733922808846e-05,6.50368424772861e-05,9.23836529607092e-05,0.00012840525802579092,0.00017495253159961614,0.00023405569509937676,0.0003079050513279467,0.00039882726010874534,0.000509258054671568,0.0006417123651952322,0.0007987528273762848,0.0009829576187507065,0.0011968884941061788,0.0014430597940303508
630,CoRoT-36b,0.13058406230350497,0.1564021081025539,0.1844029943660634,0.21439051922280727,0.24614750504457913,0.27944363169226266,0.3140423345770279,0.3497066762268946,0.386204181368205,0.4233106816278055,0.4608132515623556,0.4985123374856906,0.5362231886554938,0.5737767002827472,0.6110197723221782,0.6478152792195994,0.6840417353022797,0.7195927294140123,0.7543761914692315,0.7883135433092985
