,Planet Name,Full Phase Curve SNR 1.1-1.1425um,Full Phase Curve SNR 1.1425-1.185um,Full Phase Curve SNR 1.185-1.2275um,Full Phase Curve SNR 1.2275-1.27um,Full Phase Curve SNR 1.27-1.3125um,Full Phase Curve SNR 1.3125-1.355um,Full Phase Curve SNR 1.355-1.3975um,Full Phase Curve SNR 1.3975-1.44um,Full Phase Curve SNR 1.44-1.4825um,Full Phase Curve SNR 1.4825-1.525um,Full Phase Curve SNR 1.525-1.5675um,Full Phase Curve SNR 1.5675-1.61um,Full Phase Curve SNR 1.61-1.6525um,Full Phase Curve SNR 1.6525-1.695um,Full Phase Curve SNR 1.695-1.7375um,Full Phase Curve SNR 1.7375-1.78um,Full Phase Curve SNR 1.78-1.8225um,Full Phase Curve SNR 1.8225-1.865um,Full Phase Curve SNR 1.865-1.9075um,Full Phase Curve SNR 1.9075-1.95um
239,WASP-165b,0.6188985001071038,0.7279759254532436,0.8440452963188735,0.9661510022281992,1.0933087398851948,1.2245331912824704,1.358860519587239,1.4953659394808272,1.633176811647793,1.7714818120307527,1.9095367612591443,2.0466676896221725,2.182271674659972,2.3158159342253732,2.446835596508234,2.574930505993753,2.699761364477577,2.821045451346699,2.938552118498905,3.052098212901406
240,K2-25b,1.1579830227710311e-07,2.540179500336699e-07,5.259297142810844e-07,1.0338699250423995e-06,1.9396175440555566e-06,3.488443766072596e-06,6.038454697345945e-06,1.0095008624416322e-05,1.6349614593956032e-05,2.5722360975925026e-05,3.940661444544478e-05,5.891449718541877e-05,8.612150945960487e-05,0.0001233086224665881,0.0001732002198301842,0.00023899640500793683,0.0003243984007843618,0.0004336260272704658,0.0005714265368682996,0.0007430743896028087
241,LTT3780c,6.021999101931269e-12,1.9078440542077613e-11,5.561121058713206e-11,1.50410724902889e-10,3.802717849684016e-10,9.044965566770621e-10,2.0355129204910453e-09,4.355719384853939e-09,8.901846058599855e-09,1.7443533064984286e-08,3.288797906770265e-08,5.984683507420914e-08,1.0540443592251253e-07,1.8012745925934453e-07,2.993547899867762e-07,4.848025302592131e-07,7.66512712685115e-07,1.1851655298633503e-06,1.7947641512264117e-06,2.6656889690416235e-06
242,HAT-P-9b,0.7636446518484586,0.9159097492096755,1.0813095063142946,1.25871031636675,1.4468476269320238,1.6443723764460256,1.8498921682376719,2.06200656049816,2.27933634253636,2.5005470120406166,2.724366891227344,2.9496004482547615,3.175137448212006,3.3999585657884848,3.6231380658514087,3.843844111353032,4.061337199738768,4.274967166136257,4.484169128736947,4.688458691965941
243,HAT-P-28b,0.31951222418437536,0.3955442854664488,0.48092921579195563,0.5754178397100421,0.6786209745698959,0.790031904693671,0.9090494695986363,1.0350006149299091,1.1671615779505116,1.3047771601430518,1.447077770664239,1.593294106019376,1.742669467467829,1.894469814476531,2.047991716841607,2.2025684065793065,2.3575741493957185,2.5124271596841745,2.6665912768669955,2.8195766079302946
244,HAT-P-49b,5.631321209920464,6.237873830239739,6.840132389253243,7.433442863955707,8.013851713765455,8.578074435127768,9.12344911687831,9.647881202696702,10.149784141689285,10.628019330974354,11.081837723073525,11.510824663580214,11.91484890975086,12.294016325132919,12.64862841767411,12.979145661175599,13.286155388947872,13.570343954874232,13.832472805415607,14.073358084410245
245,K2-266d,2.1993926208127193e-07,4.53130332819111e-07,8.848998917215646e-07,1.6470447224955914e-06,2.935848378888255e-06,5.032594695294589e-06,8.32664732843672e-06,1.3340369433378751e-05,2.0754957569825382e-05,3.143613026405822e-05,4.645855376191552e-05,6.712790601842581e-05,9.499956802832409e-05,0.00013189307691183156,0.0001799016622271183,0.0002413963991677297,0.0003190247336187352,0.0004157033503613638,0.0005346055555520528,0.0006791435194702148
246,WASP-98b,0.11893037962651992,0.1560321412892469,0.20023749904522897,0.2519431890101282,0.3114341331220588,0.3788811710735092,0.45434302574535324,0.5377717047187827,0.6290205239690306,0.7278539821998772,0.833958793811279,0.9469554878501258,1.0664100864970318,1.1918454806423935,1.3227522161068754,1.4585984887985397,1.598839219158304,1.7429241355015896,1.8903048430188403,2.0404408914387577
247,WASP-85Ab,1.4040107918663327,1.715121647511289,2.059665573279584,2.435981894799086,2.8419623054094227,3.2751489030342844,3.7328283132571487,4.212118568734612,4.7100466891215,5.223615923183875,5.749862386973809,6.285901387228626,6.828964093117368,7.376425448583385,7.925824335619344,8.474877035212046,9.021485011707288,9.563737987348945,10.099913191662875,10.628471576317848
248,WASP-157b,0.1727077300266246,0.21830574803157762,0.2706178291954265,0.32967653531254953,0.3954049478743298,0.4676268021298322,0.5460786669187273,0.6304232315025018,0.7202629274236947,0.8151532831458687,0.9146155678014201,1.0181484199064688,1.1252382739636146,1.235368492044616,1.3480271801664894,1.462713723004786,1.5789441081129931,1.6962551352711754,1.8142076206171236,1.9323887112600342
