,Planet Name,RSM Estimate 1.1-1.1566667um,RSM Estimate 1.1566667-1.2133333um,RSM Estimate 1.2133333-1.27um,RSM Estimate 1.27-1.3266667um,RSM Estimate 1.3266667-1.3833333um,RSM Estimate 1.3833333-1.44um,RSM Estimate 1.44-1.4966667um,RSM Estimate 1.4966667-1.5533333um,RSM Estimate 1.5533333-1.61um,RSM Estimate 1.61-1.6666667um,RSM Estimate 1.6666667-1.7233333um,RSM Estimate 1.7233333-1.78um,RSM Estimate 1.78-1.8366667um,RSM Estimate 1.8366667-1.8933333um,RSM Estimate 1.8933333-1.95um
620,TOI-1468c,0.00539835850423266,0.005354268257055645,0.00529365539372012,0.0052203137433338145,0.005137351778548291,0.005047307813560789,0.004952210526714685,0.004853705952067754,0.004753127442576966,0.004651517101318015,0.004549713899693945,0.0044483920413318214,0.00434805830523802,0.0042491156211986476,0.004151883179144349
621,TOI-2567b,0.15783872285579112,0.15210327639301813,0.14654101452263515,0.14117789264200917,0.13602871579627707,0.13110045492923744,0.12639365999700722,0.12190534349381367,0.11763017624530368,0.11356046875756115,0.10968782421407078,0.10600353739667617,0.10249808208242796,0.09916223647001057,0.09598718109847836
622,TOI-1899b,0.029517429263128322,0.029067660219913884,0.02855433571485173,0.02799562782059515,0.027405986936619362,0.026796868878334584,0.02617712511744584,0.02555371521058195,0.024932091947734582,0.02431632037857789,0.023709539443398195,0.02311415499024278,0.022531818210116697,0.021963747653828233,0.02141082290009656
623,TOI-1468b,0.03459647416747093,0.034313912885870046,0.0339254630711792,0.03345543824585497,0.03292375968665322,0.03234669469436264,0.03173724446515163,0.03110595794176156,0.030461380186750934,0.029810189728807664,0.029157763286141534,0.028508421629288454,0.027865412554182862,0.027231318317991533,0.02660818451405203
624,TOI-2236b,0.5518532309432472,0.529427460887309,0.5080263308251446,0.4876693783528873,0.4683496363439532,0.4500430134046834,0.43271146084912887,0.41631147494803694,0.4007970079819075,0.3861184628772157,0.3722275621103381,0.35907805546607247,0.3466234677224235,0.33482049497226934,0.3236289761404679
625,TOI-3331Ab,0.8284490843208048,0.7983580846498763,0.7691738887474396,0.741033090237569,0.7140136972842737,0.6881525485527572,0.6634527383921568,0.6398987591476354,0.6174627836842762,0.596104572073775,0.575780152252297,0.5564439172981873,0.5380459372316352,0.5205378688264843,0.5038734714674105
626,TOI-3540Ab,1.6932666196129984,1.6292635605682657,1.5675493574076655,1.5083306422831402,1.4517066520530384,1.3977027407096037,1.3462838587500565,1.297383956784589,1.2509175703614495,1.2067786962858487,1.1648576148932546,1.1250444802502666,1.0872233610510642,1.0512837648992672,1.0171213110475814
627,TOI-1288b,0.1618180026813247,0.1564568732178086,0.15118502733999545,0.14604329815608189,0.14105878990775053,0.13624862985164082,0.13162171292687952,0.12718193963270452,0.12292967531696761,0.11886190528257562,0.11497410713096094,0.1112607949143258,0.10771508314045085,0.10432995134449224,0.10109842050505345
628,NGTS-24b,0.2648646053675189,0.2548344637458456,0.24516562136272374,0.23588984922053718,0.22702221457225788,0.21856630648500283,0.21051633097651434,0.20286169839593887,0.1955888258554175,0.18868095427364123,0.18212077273595034,0.17589097477867413,0.1699733227066889,0.16435044606042185,0.15900594396513634
629,TOI-1136f,0.010038930512389603,0.009662327437774504,0.009298794319640823,0.0089496402322026,0.008615523055933558,0.00829665065969025,0.007992862834545708,0.007703807440664551,0.007429010563439035,0.007167870944011874,0.0069197607832461655,0.006684047835267682,0.006460060617669453,0.00624715737536552,0.006044730509153813
